"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 17 22:48:47 CEST 2024","Fri May 17 22:48:49 CEST 2024","2549","chromium","","Automation for QATool","","","Check the Content of the Page",""
"passed","Fri May 17 22:48:47 CEST 2024","Fri May 17 22:48:49 CEST 2024","2520","chromium","","Automation for QATool","","","Check the Tootltip in the Page",""
"passed","Fri May 17 22:48:47 CEST 2024","Fri May 17 22:48:49 CEST 2024","2217","chromium","","Automation for QATool","","","Submit Questions and Answers",""
"passed","Fri May 17 22:48:47 CEST 2024","Fri May 17 22:48:49 CEST 2024","1808","Google Chrome","","Automation for QATool","","","Submit Questions and Answers",""
"passed","Fri May 17 22:48:55 CEST 2024","Fri May 17 22:48:59 CEST 2024","3447","firefox","","Automation for QATool","","","Check the Tootltip in the Page",""
"passed","Fri May 17 22:48:51 CEST 2024","Fri May 17 22:48:53 CEST 2024","2232","Google Chrome","","Automation for QATool","","","Check the Content of the Page",""
"passed","Fri May 17 22:48:51 CEST 2024","Fri May 17 22:48:56 CEST 2024","4246","firefox","","Automation for QATool","","","Sort Questions and Answers",""
"passed","Fri May 17 22:48:47 CEST 2024","Fri May 17 22:48:49 CEST 2024","1849","chromium","","Automation for QATool","","","Delete Questions and Answers",""
"passed","Fri May 17 22:48:51 CEST 2024","Fri May 17 22:48:55 CEST 2024","4169","firefox","","Automation for QATool","","","Delete Questions and Answers",""
"passed","Fri May 17 22:48:53 CEST 2024","Fri May 17 22:48:58 CEST 2024","4677","firefox","","Automation for QATool","","","Check the Content of the Page",""
"passed","Fri May 17 22:48:47 CEST 2024","Fri May 17 22:48:49 CEST 2024","2170","chromium","","Automation for QATool","","","Sort Questions and Answers",""
"passed","Fri May 17 22:48:51 CEST 2024","Fri May 17 22:48:53 CEST 2024","2178","Google Chrome","","Automation for QATool","","","Check the Tootltip in the Page",""
"passed","Fri May 17 22:48:51 CEST 2024","Fri May 17 22:48:55 CEST 2024","4154","firefox","","Automation for QATool","","","Submit Questions and Answers",""
"passed","Fri May 17 22:48:49 CEST 2024","Fri May 17 22:48:50 CEST 2024","1036","Google Chrome","","Automation for QATool","","","Sort Questions and Answers",""
"passed","Fri May 17 22:48:50 CEST 2024","Fri May 17 22:48:51 CEST 2024","1403","Google Chrome","","Automation for QATool","","","Delete Questions and Answers",""
